rec_id,uni_id,uni_name,dept_id,dept_name,description,rec_url,date_created,date_modified,user_rating,tags,rec_content
1,1,Illinois Institute of Technology,0,null,Home page,https://www.iit.edu/career-services,,,,,"Career Services offers tools for students/alumni—including co-op/internship programs, career pathways, career fairs, Handshake access, employer partnerships, contact info, office hours"
2,1,Illinois Institute of Technology,0,null,Students,https://www.iit.edu/career-services/students,,,,,"Drop‑in and appointment services, career planning, resume/cover letter workshops, Handshake setup, career fair prep, early engagement advice"
3,1,Illinois Institute of Technology,0,null,Employers,https://www.iit.edu/career-services/employers,,,,,"Employer engagement offerings: career talks, webinars, résumé reviews, mock interviews, recruiting request form"
4,1,Illinois Institute of Technology,0,null,Coaches,https://www.iit.edu/career-services/about/career-coaches,,,,,"Services of career development coaches, mock interview assistance, résumé and cover letter reviews, staff contact info"
5,1,Illinois Institute of Technology,0,null,Resources,https://www.iit.edu/career-services/career-resources,,,,,"Exclusive tools (LinkedIn Guide, Resume Guide, Cover Letter Guide, Resume template, VMock)"
6,1,Illinois Institute of Technology,0,null,Resources,https://www.iit.edu/career-services/alumni/enhance-your-career,,,,,"Career Services support for alumni: coaching, Handshake access, workshops, network tools, webinars"
7,1,Illinois Institute of Technology,0,null,Events,https://www.iit.edu/career-services/students/career-fairs,,,,,"Fall/Spring fairs, prep tips, resume review, dress code, closet, professional portraits, signup"
8,1,Illinois Institute of Technology,0,null,Events,https://www.iit.edu/events?organization=41241,,,,,Illinois Tech’s academic and administrative departments host events that are open to the university community and/or the Chicago community at large. Access this page to search for a list of upcoming events
9,1,Illinois Institute of Technology,0,null,Students,https://www.iit.edu/career-services/students,,,,,"StudentsCareer Services is glad you are here! Take advantage of our services and resources to develop professionally and connect to internships, co-ops and post-graduation job opportunities. We want to be partners on your career journey – to provide you support, help you map out your career plan, and give you the tools you need to start a career!## Career Services Mission StatementIllinois Tech Career Services offers students the tools they need to succeed in today’s global workforce. Our excellent, comprehensive career‑development services foster student engagement by providing meaningful coaching and programming for all students and alumni. Our strong partnerships with employers, alumni, faculty, and other university stakeholders ensure the career readiness of our students. Our vision is to be the hub for career education, career development, and professional experience at Illinois Tech.Mission is reviewed and revised (if necessary) on a yearly basis## Career Fair: Save the Date### Fall 2025 Career Fair Dates To Be Announced June 2025## Drop‑Ins and AppointmentsStudents will have the choice of in‑person, virtual appointments or drop‑in sessions. Students interested in a virtual or in‑person appointment should schedule through Handshake. Your virtual appointment will be held through Handshake's video conferencing tool, Google Meet, or Zoom.In‑person appointments will be held on campus in the MTCC, Career Services offices. Please check in with the Career Services desk just outside The Commons when you arrive for your appointment.Drop‑in services will also be offered in‑person at the MTCC 106 (outside The Commons) and will be available virtually through Blackboard Monday–Friday from 12:30 p.m.–3:30 p.m.To stay informed about events, please check Handshake and RSVP to events of interest. If you have any questions, please don't hesitate to reach out to us at careerservices@illinoistech.edu at any time.Are you an alum trying to access Handshake? Please follow the steps below to access the system if you already had an account created as a student:1. Visit iit.joinhandshake.com2. Click 'sign in with your email address' below the 'Illinois Institute of Technology Sign On' button3. Reset your password for your @hawk.iit.edu account4. Log‑in using the new password to access your Handshake account!## Take the First Steps* During your first semester at Illinois Tech, meet with a Career Development Coach or Peer Career Coach to start developing your career plan* Read the Illinois Tech Resume Guide* Develop your professional résumé with VMock* Browse our website and take advantage of the resources that are available to you* Open a Handshake account for résumé posting and job listings* Follow Career Services on social media‌—keep up with workshops, career fairs, specialized employer events, and job announcements* Add Career Services events to your calendar* Watch Candid Career videos to learn about the career paths available to you## Develop Your Skills* Attend our workshops, learn to write a résumé, get interviewing tips, and discover what career path might fit you the best* Research your industry* Get experience early, so that you can make a great impression on a future employer by applying for internships and co‑ops* Go to on‑campus and virtual career fairs; check which companies are coming to interview Illinois Tech students—and get tips from students about finding a great job or alumni who are back to recruit## Our Advice* Start early by creating goals for yourself and learning what skills you have* Network with industry leaders and alumni by attending different campus events* Learn how to write an effective cover letter and résumé* Figure out how to stand out in a crowded, competitive marketplace* Discover how to interview well* Practice how to negotiate* Clean up your social media profiles"
10,1,Illinois Institute of Technology,0,null,Students,https://www.iit.edu/career-services/students/internships,,,,,"Internships can be part‑time or full‑time—Students must enroll in academic courses each semester in the fall and spring to maintain full‑time status and make progress toward their degrees, even if they are doing full‑time experiences.Internships only award administrative credit—Administrative credits allow students to maintain their full‑time student status at the university but do not give academic credits toward a student’s degree program.Summer semester internships are different than spring and fall semester internships—During the summer term, students are not required to take academic courses because it is considered an optional term by the university.Graduate students cannot take summer courses concurrently with full‑time internships based on policies made by Graduate Academic Affairs. Students who have additional questions about this policy should contact Graduate Academic Affairs.Undergraduate students who are participating in an internship experience are allowed to take summer courses along with their full‑time internship.Internships with administrative credits must span the entire length of an academic term—Students who choose to do internships with administrative credits must start their internship by the first working day after the drop/add date and cannot end any earlier than the last day of courses. Internships where administrative credits are not given offer more flexibility in terms of start and end dates.Final semester internships must be accompanied by on‑campus coursework—Students completing an internship in the final semester are not allowed to exclusively sign up for online coursework. They must have an on‑campus presence to be eligible to do the internship experience.### Benefits1. Apply school knowledge in practical work settings2. Learn which aspects of the profession best suit you3. Networking4. Strengthen résumé5. Monetary compensation6. Possibility to convert to full‑time post‑graduation7. Opportunity for reduced course load while maintaining full‑time status8. Official transcripts will show work terms as part of your history—useful for applications that require transcripts in addition to your résumé and cover letter.### Curricular Practical Training (CPT) And Academic TrainingF‑1 students and J‑1 students seeking to do Experiential Learning must obtain additional approval from the Office of Global Services. F‑1 students will have to obtain CPT work authorization in addition to completing the application forms for the Experiential Learning Office. J‑1 students will have to obtain Academic Training work authorization, which involves the Experiential Learning Office.### Special AnnouncementChicago‑Kent College of Law, Institute of Design, Stuart School of Business, and Department of Psychology students have a different internship application process than students at Mies Campus. Please see specific CPT application links for those departments.### Experiential Learning @ Illinois TechExperiential Learning (“EL”) allows students to apply knowledge directly in non‑academic settings; students can pursue internships, research, and more, empowering learning through doing at Illinois Tech."
