rec_id,uni_id,uni_name,dept_id,dept_name,description,rec_url,date_created,date_modified,user_rating,tags,rec_content
1,1,Illinois Wesleyan,0,null,Career services homepage,https://www.iwu.edu/career-center/,,,,home_page,"Be Career Ready - The Illinois Wesleyan University Hart Career Center encourages students to engage early and often to transition from college to career. Whether you are applying to graduate schools, searching for jobs, looking for internships, updating your resume, writing a cover letter, or deciding your major or career path our career advisors are here to help!  We are passionate about helping you through every step of your career journey."
2,1,Illinois Wesleyan,0,null,Handshake introduction,https://iwu.joinhandshake.com/login,,,,"appointments, advising, internships, jobs","Handshake - The Hart Career Center utilizes Handshake as our career services platform. This includes our employer network, internship/job posting database, on-campus interviews, professional development events, virtual career fairs, appointment scheduling with career advisors, a resource library, and more! Activate your Handshake account to access these free tools available to all IWU students and alumni."
3,1,Illinois Wesleyan,0,null,Schedule an appointment,https://iwu.joinhandshake.com/login,,,,"appointments, advising, internships, jobs","Schedule an Appointment - Meet with a career advisor to ask all of your career-related questions! Schedule through Handshake, email ccenter@iwu.edu, or call (309) 556-3071."
4,1,Illinois Wesleyan,0,null,Events,https://www.iwu.edu/career-center/events/,,,,events,"Events - We offer events throughout the year for professional career development including presentations, workshops, alumni speakers, panel discussions, and more!"
5,1,Illinois Wesleyan,0,null,Career Fairs,https://www.iwu.edu/career-center/events/career-fairs/,,,,Career_fair,Career Fairs - Connect with recruiters from employers and graduate/professional schools that have opportunities to share with IWU students!
6,1,Illinois Wesleyan,0,null,Internships,https://www.iwu.edu/career-center/internships/,,,,Internships,Internships - Gain practical experience within your major or career path!
7,1,Illinois Wesleyan,0,null,Career Immersion Excursion,https://www.iwu.edu/career-center/career-immersion-excursion/,,,,career_exploration,"Career Immersion Excursion - Made possible with generous contributions from the Carswell family and kind support from participating alumni and employers, IWU students visit a U.S. city during spring break to be immersed in a career exploration excursion!"
8,1,Illinois Wesleyan,0,null,Employers,https://www.iwu.edu/career-center/employers/,,,,employers,Hiring Titans - The Illinois Wesleyan University Hart Career Center offers services for employers to make it easy to hire Illinois Wesleyan students and graduates.Â Learn more about how employers can work with the Hart Career Center and IWU students.Â 
9,1,Illinois Wesleyan,0,null,Contact,https://www.iwu.edu/career-center/,,,,contact_page,"Warren Kistner - Director of the Career Center, wkistner@iwu.edu, (309) 556-3237"
10,1,Illinois Wesleyan,0,null,Students,https://www.iwu.edu/career-center/students/,,,,Students,Student Success Starts Here
11,1,Illinois Wesleyan,0,null,Career Immersion Excursion,https://www.iwu.edu/career-center/career-immersion-excursion/,,,,"career_exploration, career_research ","The Career Immersion Excursion is a multi-day program during Spring Break where a group of IWU students travel to a U.S. city to engage with successful Titan alumni! CIE is designed to offer students an opportunity to get a close-up look at industries, companies, and careers. This trip also provides a chance for students to clarify career goals and aspirations. Students build their network through employer site visits, panel sessions, alumni socials, and professional networking events. Contact Patrick Zajac, Associate Director for Career Engagement for more information at pzajac@iwu.edu"
