rec_id,uni_id,uni_name,dept_id,dept_name,description,rec_url,date_created,date_modified,user_rating,tags,rec_content
1,1,Loyola University Chicago,0,null,Career services homepage,https://www.luc.edu/career/,"Sept 6, 2024","July 6, 2025",,home_page,"Career Services is here to help you connect your interests, coursework, passions, and activities to a career that’s meaningful to you."
2,1,Loyola University Chicago,0,null,Career services about page,https://www.luc.edu/career/about/,"Sept 6, 2024","July 7, 2025",,about_page,"Career Services is here to help you connect your interests, coursework, passions, and activities to a career that’s meaningful to you. 

Through an eco-system model, we facilitate connections among students with similar interests and career goals—whether through industry-specific networking events, peer mentoring, or programming. These relationships provide opportunities for collaboration, helping students gain insights and support one another as they navigate their career paths.  

Get Your Start  

Get started on Handshake – Loyola's career management platform where students and alumni can join a career community, schedule career advising appointments, register for events, search for jobs and access our resources.  

Log-in to Handshake with your LUC email address and read this start-up information."
3,1,Loyola University Chicago,0,null,Career services contact page,https://www.luc.edu/career/about/contactus/,"Sept 6, 2024","July 8, 2025",,contact_page,"Phone: 773.508.7716
Fax: 773.508.7088
Email: careercenter@luc.edu
Mailing Address: Loyola University Chicago 1032 W. Sheridan Rd. Chicago, Illinois 60660
"
4,1,Loyola University Chicago,0,null,Staff directory,https://www.luc.edu/career/about/staffdirectory/,"Sept 6, 2024","July 9, 2025",,staff_directory,"Geni Harclerode headshot
Geni Harclerode, MA
Assistant Vice President


James Connon
Senior Associate Director, Employer Relations and Recruiting

Taylor Kinn headshot
Taylor Kinn, M.S. Ed.
Director of Career Communities

Brigette Petersen headshot
Brigette Petersen, MEd
Senior Associate Director, Employer Operations & Communications


Catherine Archer, LCPC
Associate Director, Social Work, Education, Nonprofit Career Community


Danny Blough
Assistant Director, Employer Relations

Brian Campell headshot
Brian Campbell, PhD
Associate Director, Graduate Career Community

Omega Cruz headshot
Omega Cruz, MEd, LPC
Assistant Director, Student Employment

Erin Grafton headshot
Erin Grafton, MA
Career Advisor, Tech, Info Systems & Data Career Community


Anna Goldberg
Career Advisor, Natural Science, Research, & Sustainability Career Community; Pre-Nursing Career Community


Jim Johnson, PhD
Associate Director, Health Exploration Career Community


Alastair Knowles, M.S.
Associate Director, Finance & Accounting Career Community


Harveen Mann, Ph.D.
Advisor, Pre-Law (Juniors & Seniors)

Emily Mattson headshot
Emily Mattson, MSW
Career Advisor, Law, Policy & Government Career Community

Sarah McNally headshot
Sarah McNally, M.Ed.
Assistant Director, Arrupe Career Success


Ashley Meczywor, M.Ed, LPC
Career Advisor, Arts, Culture & Media Career Community


Maren Morrison, MS
Career Advisor, Allied Health & Public Health Career Community

Mary NeCastro headshot
Mary NeCastro
Operations & Employer Communications Coordinator

Katie Ramian headshot
Katie Ramian, MSW
Career Advisor, Consulting, HR & Supply Chain Career Community

David Rasmussen headshot
David Rasmussen
Marketing & Events Coordinator

Ralen Ricardo headshot
Ralen Ricardo, MBA
Assistant Director, Employer Relations

Hanna Rosenblatt headshot
Hannah Rosenblatt
Career Advisor, Pre-Medicine Career Community


Edith Sanchez-Saenz, MA
Career Advisor, Marketing, Advertising & PR Career Community

Julie Sells headshot
Julie Sells, M.P.H.
Assistant Director, Quinlan Graduate Students Career Community

Meg Sieberg headshot
Meg Sieberg, MSW
Associate Director, Health, Natural Science, and Medicine Career Community


Dori White, M.A.
Career Advisor, Masters Students Career Community"
5,1,Loyola University Chicago,0,null,Handshake introduction,https://www.luc.edu/career/about/handshake/,"Sept 6, 2024","July 10, 2025",,"handshake, alumni_resources, internship, job","Handshake is Loyola's interactive career management tool. 

Students and alumni* can:

Schedule 1:1 appointments with our advising staff
Apply for job/internship opportunities, including Federal Work Study positions
Register for career fairs and events, on-campus interviews, peer-to-peer messaging and career education.
 

*Note to alumni: Please register for Handshake using your Loyola email address. If you no longer have access to it, please contact careercenter@luc.edu for assistance.

Employers can create a free Handshake Employer Account to post open positions, share and register for events, join our career fairs, and set up on-campus interviews.

Why Use Handshake?
Millions of students/alumni use Handshake; it's the #1 site for college students to find jobs
More than 750,000 employers are active users - from Fortune 500 companies to non-profits to entrepreneurial start-ups.
Handshake Login and Getting Started
Visit the login page to get started – https://luc.joinhandshake.com
Students use your UVID and password to log in when on campus, otherwise use your LUC email address.
It only takes about five minutes to complete your profile. Check out these start-up videos
Handshake Mobile
Handshake has an app available in the App Store and on Google Play
Set up notifications to track your favorite companies and follow career events
Need Assistance?
If you have any questions or issues, please reference the Handshake Help Center or email us at careercenter@luc.edu"
6,1,Loyola University Chicago,0,null,Career outcomes,https://www.luc.edu/career/about/careeroutcomes/,"Sept 6, 2024","July 11, 2025",,outcomes,"Career Outcomes
Life After Graduating Loyola University Chicago: Student Outcomes
From Chicago to anywhere across the globe, as a Loyola Chicago alumnus, you join a welcoming community of professionals who are transforming the world around them.

Class of 2024 Undergraduate Outcomes

Class of 2023 Undergraduate Outcomes

Class of 2022 Undergraduate Outcomes

Class of 2021 Undergraduate Outcomes

For more information, please visit our Office of Institutional Effectiveness"
7,1,Loyola University Chicago,0,null,Career advising,https://www.luc.edu/career/services/careeradvising/,"Sept 6, 2024","July 12, 2025",,"advising, appointments","Career Advising
Career Advising Appointments 
Loyola undergrads, graduate students, and recent graduates (up to five years post-graduation) can schedule one-on-one appointments through Handshake. In-person and virtual appointments are available. Advising appointments offer personalized support on a range of topics, such as:

Exploring career interests & pathways
Resume & cover letter creation
Interviewing practice (Check out our new interviewing platform, BIG INTERVIEW, in Handshake Resources)
Searches for on-campus employment, internships, and/or full-time roles
Career Services Pop-Up Advising
For shorter questions and document reviews, Career Services' Career Peers host Pop-Up Advising at the Lake Shore and Water Tower Campuses. Check Handshake Events to find a Pop-Up Advising event near you.

Other Career Services at Loyola
School of Law Students, please explore the Law School’s Career Services
Stritch School of Medicine Students, please find Career Resources for Medical Students"
8,1,Loyola University Chicago,0,null,Pre-professional,https://www.luc.edu/career/pre-professional/,"Sept 6, 2024","July 13, 2025",,"pre_professional, pre_medicine, pre_law","Pre-Professional
Pre-Law Career Community
Career Services' Pre-Law Career Community provides information and guidance to Loyola students and alumni who are considering a legal career and applying to law school.

Our services include: advising, regular communication about upcoming events and opportunities, law school info sessions and specialized programming.

Additional information and resources from the Pre-Law Career Community can be found here.

Pre-Medicine Career Community
Career Services' Pre-Medicine Career Community offers assistance to Loyola's undergraduate and post-baccalaureate students and alumni interested in pursuing health professional careers.

Click here to learn more."
9,1,Loyola University Chicago,0,null,Fairs and events,https://www.luc.edu/career/services/fairsandevents/,"Sept 6, 2025","July 14, 2025",,,"Fairs and Events
Career Services offers recruiting opportunities throughout the year, including career fairs, on-campus recruiting and information sessions. For the latest information, log-in to Handshake.

Preparing for Career Fairs
When you attend a career fair, you can expect many of the same experiences whether it's in-person or virtual, such as meeting the employer, getting an opportunity to ask questions about a company, etc. So how is a virtual career fair different from an in-person fair?

Below, you'll find everything you need to know to prepare yourself for both types of events. 

FAQs
How Should My Handshake Profile Appear To Recruiters? What Updates Do I Need To Make?
Make sure your graduations date, school year, major, GPA, and work authorization are accurate. You aren't required to include your GPA, but that may limit which employers you can have 1:1 sessions with. Add the job types, locations, and roles that interest you, as well as your courses, skills, and any previous work experience. You can also add a professional profile photo if you have one.

How Do I Prepare For An In-Person Career Fair?
Review the list of companies registered in Handshake for the fair and research those that interest you. Update your resume and have it reviewed. Practice introducing yourself. On the day of the fair, go early if you can and meet first with employers who don't have long lines of students to make the most use of your time. Ask recruiters for their business cards and follow-up via email after the fair.

How Do I Find Out If An Employer Values Diversity, Equity and Inclusion?
There are several ways to research employers prior to a fair, event or interview, using a DEI lens:

Go to the company’s “About Us” or “Leadership” page. What does the leadership team or board of directors look like? How diverse is the team?
How does the company represent itself through words and images on its website and social channels? Who is represented, and how?
Does the company have a DEI mission statement? What does it say? Where does it appear on the organization’s website?
Does the organization share numbers or data to support claims of equity?
When you look at the company’s website, social channels, and news mentions, what evidence can you find about actions they are taking to support DEI?
Is the organization featured on lists of inclusive companies, like the Human Rights Campaign’s Corporate Equality Index?
What do employees say online about their experience working at the company? You might find such information on blogs or websites like Glassdoor.
Looking at the company careers page, what diversity recruitment programs do they offer? How do they define diversity within these programs? What do these programs entail?
 

What Should I Wear To A Career Fair?
For all fairs or Career Services events, whether in-person or virtual, business professional attire is suggested.  
Students are encouraged to dress in a manner consistent with their identities (race, religion, gender identity/expression, etc.), background, and professional aspirations. 
Business professional attire might include a business suit, dress pants, or professional skirt with a collared dress shirt or blouse and matching jacket, or tailored dress, along with polished dress shoes (heels should be under 3"") and conservative makeup/nail polish. Clothes should be clean and wrinkle-free.
What's My Elevator Pitch?
Your elevator pitch is a quick and conversational introduction. It usually includes your name, school year, area of study, and relevant experience or credentials. It can also include why you are interested in the company. For example, ""It's nice to meet you. My name is Louis Wolfe. I'm a junior studying English here at Loyola. I manage the newsletter and social media for my club soccer team and am hoping to find an internship or job where I can learn more about communications. I think your company does great work for senior citizens in Chicago and would be interested in helping you spread the word."" For more information and examples, check out Handshake.

 

What Questions Should I Ask Employers?
Prepare and ask questions you are genuinely interested in learning. These can be questions about the company as a whole, like ""How would you describe the company's culture?"". Or, these can be questions about the specific role you are talking about, like ""What does a typical day as an account manager look like?"". It's a good idea to research the company and/or open roles so that you can prepare informed questions ahead of time. Check out Handshake for more tips and examples.

Virtual Career Fairs/Events: Technical Preparation
To participate in LUC's Virtual Career Fairs, students must register and schedule meeting times with employers. First, be sure to claim your Handshake account and complete your profile.
To register, go to Handshake's Events page and click on the virtual career fair you want to attend. On the fair's page, click the purple ""Register"" button in the top right corner.
After registering, set-up your schedule to meet with employers. Each employer will create available meeting slots which will be either 30-minute, Group Sessions or 10-minute, 1:1 Sessions. You will need to schedule sessions prior to their start time to be able to join them.
Test your technology prior to the fair. You'll need to use a supported browser like Chrome, Firefox, or Safari (do not use Explorer). You'll also want a good internet connection, speakers/microphone, and a webcam.
Before the Virtual Career Fair: Personal Preparation
Polish up your resume in Handshake with these guides, or get help from Career Services by making an appointment or attending virtual drop-ins.
Research the employer(s) you plan to meet and prepare a quick elevator pitch for yourself. You'll want to be able to give an overview of your background, studies, and career goals. It's also a good idea to have some questions prepared to ask the employer(s).
Plan to present yourself professionally. This means wearing a nice outfit and finding a quiet spot with a neutral background for your video.
Add calendar reminders for yourself for each session. You must log-in to Handshake to attend.
During the Virtual Career Fair
Log in to Handshake and go to the page for the virtual fair. You'll see your schedule there and will be able to click ""Join"" when it is time for your session(s).
Be sure to arrive on time to your sessions. You won't be able to join them late.
When talking with employers, be sure to maintain eye contact, practice active listening, and ask questions. Treat this interaction like a job interview.
Ask for contact information and next steps from the employer.
How Do I Follow-up After A Career Fair/Event?
Following-up with employers is key. You can send a brief email or personalized LinkedIn invite to thank the employer(s) for their time and express your interest in them.
See if an employer has job or internship opportunities that you are interested in and consider applying for them.
Give yourself a pat on the back for successfully participating in a career fair!
Want more details about preparing for and attending virtual fairs? Set up an advising appointment through Handshake, check out the following resources, and/or contact us at careercenter@luc.edu. 

Complete Student Training for Virtual Career Fairs
An Overview of Registering for Virtual Career Fairs
10 Tips for Attending a Virtual Career Fair
How to Prepare for Virtual 1-on-1 Sessions
All Handshake Virtual Career Fair Guides"
10,1,Loyola University Chicago,0,null,Upcoming events,https://www.luc.edu/career/employers/careerfairsandevents/,"Sept 6, 2026","July 15, 2025",,,"Career ServicesEmployersCareer Fairs and Events
Career Fairs and Events
Career Services hosts a variety of career fairs throughout the year that bring together employers, students and alumni.

Employers seeking opportunities to network can attend one or more of the Loyola-hosted career fairs listed below. Please log in to Handshake to view career fair details, fees and to register.

Upcoming Events

Job, Internship & Service Fair
Wednesday, September 3, 2025 • 1 p.m. - 4 p.m. Damen Student Center, Lake Shore Campus

Opportunities for all students and the community to explore a variety of jobs both on and off campus. We host a variety of organizations from the non-profit sector (secular and religious), regional companies and Loyola departments for part time, internship, federal work-study, service-learning and volunteer opportunities.

REGISTER IN HANDSHAKE
Students at a career fair 
Small to Mid-size Accounting Firm Career Fair
Thursday, September 4, 2025 • 3 p.m. – 6 p.m. 16 E. Pearson St., Schreiber Center

A career and networking opportunity for undergraduate/graduate students and recent graduates to meet accounting firm representatives and learn more about the professional career paths and opportunities to intern and work in a small or mid-size accounting firm work environment.

REGISTER IN HANDSHAKE

Business Opportunities Networking & Career Fair (Two Days)
September 16-17, 2025 • 3 p.m. – 6 p.m. 16 E. Pearson St., Schreiber Center

Bringing together the top organizations in the fields of finance, accounting, information systems, marketing & communication and more. This fair invites employers to meet with undergraduate and graduate students interested in working for mid-to-large-sized companies in these industries. Professional attire is recommended. Day 1: Accounting, Finance, Info Systems Day 2: Marketing, Communication & Media, Consulting, Human Resources

Register in Handshake (TBA)

Supply Chain Networking & Career Fair
Tuesday, September 30, 2025 • 3 p.m. – 6 p.m. 16 E. Pearson St., Schreiber Center

Be a part of Chicago's largest career fair dedicated solely to the supply chain field. This event is open to all students interested in the industry; the Chicagoland Supply Chain Community is also welcome to attend.

REGISTER IN HANDSHAKE (TBA)
Students and employers at a career fair 
STEM, Economics & Info Systems Career & Networking Fair
Thursday, Oct. 2, 2025 • 3 p.m. – 6 p.m., Damen MPR

The STEM (Science, Technology, Engineering and Math), Economics & Information Systems Career & Networking Fair is designed to provide an opportunity for employers to engage with students exploring these areas. Employers from a range of organizations in the for-profit and nonprofit sectors recruit for both internship and full-time hiring needs.

Register in Handshake"
